timestamp,spot_open,spot_high,spot_low,spot_close,spot_volume,ce_open,ce_high,ce_low,ce_close,ce_volume,ce_iv,ce_oi,ce_strike,pe_open,pe_high,pe_low,pe_close,pe_volume,pe_iv,pe_oi,pe_strike
2024-02-08 15:02:00 +0530,21676.35,21680.8,21672.35,21672.95,0.0,19.65,22.8,14.8,15.1,7970250,0.0,9817950,21650.0,5.25,6.15,4.4,6.15,22826800,23.677438,22923100,21650.0
2024-02-08 15:03:00 +0530,21673.1,21686.4,21672.95,21682.75,0.0,1.25,2.05,1.15,1.75,24422600,11.850559,35814950,21700.0,41.8,43.2,28.6,31.9,10216100,35.938908,13330900,21700.0
2024-02-08 15:04:00 +0530,21682.0,21702.5,21682.0,21702.5,0.0,2.05,4.55,1.8,4.55,29622700,5.044892,35814950,21700.0,30.45,30.45,17.45,17.45,12914550,30.751355,13330900,21700.0
2024-02-08 15:05:00 +0530,21702.9,21714.0,21700.8,21708.55,0.0,5.0,7.5,3.5,5.9,51015450,0.0,33002800,21700.0,16.15,16.3,7.7,8.5,25845450,20.676148,15842750,21700.0
2024-02-08 15:06:00 +0530,21708.45,21716.95,21708.0,21716.95,0.0,6.75,7.8,5.75,7.0,30255150,0.0,33002800,21700.0,7.7,8.55,5.2,5.75,23628300,21.297014,15842750,21700.0
2024-02-08 15:07:00 +0530,21716.1,21724.4,21714.4,21715.6,0.0,7.6,13.6,6.6,7.75,37588050,0.0,33002800,21700.0,5.3,6.05,2.4,3.85,40472850,17.026491,15842750,21700.0
2024-02-08 15:08:00 +0530,21715.7,21733.35,21715.7,21730.35,0.0,0.55,1.45,0.55,0.8,23688100,11.157595,22831150,21750.0,46.4,46.4,34.65,38.75,4527800,49.696874,5824100,21750.0
2024-02-08 15:09:00 +0530,21730.8,21733.5,21716.7,21728.2,0.0,0.95,1.0,0.4,0.7,18057400,11.893624,22831150,21750.0,38.6,44.4,34.65,39.4,5288750,49.570982,5824100,21750.0
2024-02-08 15:10:00 +0530,21726.6,21731.25,21722.35,21726.45,0.0,0.75,0.95,0.6,0.75,19020050,13.142789,22831150,21750.0,37.6,41.55,36.85,38.75,2899000,47.300752,5824100,21750.0
2024-02-08 15:11:00 +0530,21725.35,21730.55,21722.05,21724.1,0.0,13.65,15.45,11.7,12.8,13182100,0.0,23515000,21700.0,1.6,1.6,0.75,1.1,27252450,15.314129,26368100,21700.0
2024-02-08 15:12:00 +0530,21723.9,21729.2,21722.7,21727.3,0.0,0.45,0.6,0.35,0.35,9023450,11.264402,26173800,21750.0,38.35,39.55,35.9,37.25,2387050,47.837649,6364000,21750.0
2024-02-08 15:13:00 +0530,21724.55,21730.55,21720.15,21723.15,0.0,13.9,14.9,11.9,12.65,10190350,0.0,23515000,21700.0,0.8,0.8,0.5,0.7,15193650,13.912383,26368100,21700.0
2024-02-08 15:14:00 +0530,21724.95,21727.4,21713.75,21714.75,0.0,12.95,14.45,8.8,10.15,14650550,0.0,22543400,21700.0,0.6,1.1,0.35,1.1,21029500,11.897617,26387150,21700.0
2024-02-08 15:15:00 +0530,21715.6,21722.7,21708.55,21722.7,0.0,10.65,12.7,7.2,12.7,19246600,0.0,22543400,21700.0,0.8,1.95,0.5,0.5,33821800,13.440296,26387150,21700.0
2024-02-08 15:16:00 +0530,21722.3,21724.2,21713.45,21717.45,0.0,13.15,13.15,10.4,11.3,11599150,0.0,22543400,21700.0,0.45,0.9,0.4,0.65,16142700,12.209804,26387150,21700.0
2024-02-08 15:17:00 +0530,21717.35,21721.0,21716.15,21716.4,0.0,11.25,13.0,11.25,11.5,7750100,0.0,20817800,21700.0,0.65,0.65,0.35,0.35,9930700,10.359896,27209400,21700.0
2024-02-08 15:18:00 +0530,21717.0,21719.4,21709.5,21709.5,0.0,12.0,12.5,9.65,10.05,9042250,7.935135,20817800,21700.0,0.4,0.5,0.3,0.5,11183150,7.93297,27209400,21700.0
2024-02-08 15:19:00 +0530,21710.25,21721.05,21710.25,21717.45,0.0,10.35,12.35,10.35,11.8,7944500,0.0,20817800,21700.0,0.5,0.5,0.15,0.2,13026850,10.486807,27209400,21700.0
