Date,Breakout Type,Entry Time,Underlying Entry Price,OR High,OR Low,OR Width,Gap %,Inside Day,Outside Day,Relation PDH/PDL,Days To Expiry,Day Of Week,Max Continuation,Max Adverse,Sustained,Failed,ATR,ADX,RSI,VWAP Dist,ATM MFE %,ATM MAE %,ATM Peak Time,ATM Time To Peak Min,ATM Decay %,ATM Gamma Eff,ATM Expansion Quality Score,ATM Peak Exhaustion Score,ATM Expected Opportunity Score,ATM Time To 50%,ATM Time Above 50%,ATM Exit Hybrid Return %,ATM Exit Hybrid Capture Eff,ATM Exit Hybrid Retention Ratio,ATM Exit Hybrid Lost Profit,Volatility Regime,Trend Regime,Auction Archetype,Failure Reason
2025-09-05,bearish,2025-09-05 09:45:00 +0530,24778.3,24832.3496,24779.4004,52.94920000000275,0.0,false,false,inside,4,Friday,156.7003999999979,25.299999999999272,true,false,,,,,42.03,-30.31,2025-09-05 10:24:00 +0530,39,49.91,0.268,30,100,15,,0,-26.45,-0.6293,0.0,56.7,normal,trending,open_auction,none
2025-09-08,bullish,2025-09-08 09:38:00 +0530,24832.15,24831.3496,24758.5,72.84960000000137,0.0,false,false,inside,4,Monday,53.349999999998545,80.59920000000056,true,false,,,,,53.43,-21.98,2025-09-08 09:51:00 +0530,13,49.15,1.002,57,100,41,11,2,1.63,0.0306,0.0306,31.7,normal,mean_reverting,open_rejection_reverse,none
2025-09-08,bearish,2025-09-08 15:12:00 +0530,24752.2,24831.3496,24758.5,72.84960000000137,0.0,false,false,inside,4,Monday,0.649199999999837,48.599999999998545,false,true,,,,,33.33,-19.4,2025-09-08 15:17:00 +0530,5,39.55,51.345,60,100,25,,0,-6.97,-0.209,0.0,14.75,normal,mean_reverting,open_rejection_reverse,vwap_reclaimed
2025-09-09,bearish,2025-09-09 09:35:00 +0530,24837.95,24879.0508,24840.9004,38.150400000002264,0.0,false,false,inside,4,Tuesday,23.950000000000728,53.85080000000016,false,true,,,,,34.3,-99.89,2025-09-09 10:22:00 +0530,47,99.92,1.432,22,100,0,,0,-19.2,-0.5597,0.0,24.8,normal,mean_reverting,failed_auction,vwap_reclaimed
2025-09-09,bullish,2025-09-09 14:27:00 +0530,24885.55,24879.0508,24840.9004,38.150400000002264,0.0,false,false,inside,4,Tuesday,6.250800000001618,59.95000000000073,false,true,,,,,0.0,-99.86,2025-09-09 14:27:00 +0530,0,99.86,0.0,0,100,0,,0,-60.03,0.0,0.0,22.15,normal,mean_reverting,failed_auction,vwap_reclaimed
2025-09-10,bullish,2025-09-10 09:38:00 +0530,24992.1,24992.8008,24958.0996,34.70119999999952,0.0,false,false,inside,4,Wednesday,43.599200000000565,77.04919999999765,false,true,,,,,23.86,-14.21,2025-09-10 14:43:00 +0530,305,29.95,0.547,17,100,0,,0,5.41,0.2268,0.2268,24.55,normal,trending,open_rejection_reverse,vwap_reclaimed
2025-09-10,bearish,2025-09-10 13:16:00 +0530,24956.2,24992.8008,24958.0996,34.70119999999952,0.0,false,false,inside,4,Wednesday,41.14919999999984,31.700000000000728,false,true,,,,,9.65,-23.59,2025-09-10 15:11:00 +0530,115,6.94,0.235,25,100,0,,0,-3.22,-0.3333,0.0,12.0,normal,trending,open_rejection_reverse,vwap_reclaimed
2025-09-11,bullish,2025-09-11 12:33:00 +0530,25011.15,25008.9492,24940.1504,68.79880000000048,0.0,false,false,inside,4,Thursday,26.150799999999435,24.25,false,true,,,,,3.35,-26.95,2025-09-11 13:52:00 +0530,79,29.32,0.128,12,100,0,,0,-0.28,-0.0843,0.0,4.5,normal,mean_reverting,trend_from_open,vwap_reclaimed
2025-09-12,bullish,2025-09-12 10:54:00 +0530,25089.8,25089.75,25038.0508,51.69919999999911,0.0,false,false,inside,4,Friday,49.64919999999984,11.149999999997817,false,true,,,,,19.81,-19.64,2025-09-12 12:05:00 +0530,71,32.92,0.399,15,100,0,,0,-3.18,-0.1605,0.0,20.25,normal,mean_reverting,open_auction,vwap_reclaimed
2025-09-15,bearish,2025-09-15 09:39:00 +0530,25082.8,25138.4492,25085.25,53.19919999999911,0.0,false,false,inside,4,Monday,34.04999999999927,35.54999999999927,false,true,,,,,6.73,-56.73,2025-09-15 10:07:00 +0530,28,59.46,0.198,4,100,0,,0,-3.45,-0.5122,0.0,6.2,normal,mean_reverting,failed_auction,vwap_reclaimed
2025-09-16,bullish,2025-09-16 09:34:00 +0530,25127.75,25122.0,25070.4492,51.55080000000089,0.0,false,false,inside,4,Tuesday,133.65039999999863,2.650000000001455,true,false,,,,,144.92,-99.82,2025-09-16 10:09:00 +0530,35,99.92,1.084,58,100,14,5,142,74.31,0.5128,0.5128,19.1,normal,mean_reverting,open_auction,none
2025-09-17,bullish,2025-09-17 09:37:00 +0530,25329.4,25324.3496,25275.3496,49.0,0.0,false,false,inside,4,Wednesday,17.099999999998545,49.55000000000291,false,true,,,,,26.92,-5.73,2025-09-17 15:23:00 +0530,346,20.73,1.574,34,100,15,,0,2.46,0.0915,0.0915,30.3,normal,trending,open_auction,vwap_reclaimed
2025-09-18,bearish,2025-09-18 12:38:00 +0530,25386.85,25448.9492,25393.8008,55.14839999999822,0.0,false,false,inside,4,Thursday,57.099999999998545,49.900000000001455,true,false,,,,,15.55,-29.37,2025-09-18 13:32:00 +0530,54,38.88,0.272,31,100,0,,0,-14.4,-0.9259,0.0,20.8,normal,mean_reverting,open_auction,none
2025-09-19,bearish,2025-09-19 09:32:00 +0530,25353.7,25428.75,25356.75,72.0,0.0,false,false,inside,4,Friday,67.39919999999984,6.700000000000728,true,false,,,,,36.59,-37.78,2025-09-19 09:38:00 +0530,6,54.45,0.543,57,100,0,,0,1.49,0.0407,0.0407,23.55,normal,mean_reverting,open_test_drive,none
2025-09-22,bullish,2025-09-22 09:32:00 +0530,25298.7,25290.9004,25211.5996,79.30079999999725,0.0,false,false,inside,4,Monday,32.99919999999838,147.64919999999984,false,true,,,,,47.14,-25.29,2025-09-22 14:48:00 +0530,316,39.32,1.429,23,100,33,,0,18.71,0.397,0.397,19.9,normal,mean_reverting,open_test_drive,vwap_reclaimed
2025-09-22,bearish,2025-09-22 14:38:00 +0530,25212.6,25290.9004,25211.5996,79.30079999999725,0.0,false,false,inside,4,Monday,61.549199999997654,9.30000000000291,true,false,,,,,69.88,-2.93,2025-09-22 14:45:00 +0530,7,41.84,1.135,68,100,93,4,6,20.48,0.2931,0.2931,14.35,normal,mean_reverting,open_test_drive,none
2025-09-23,bearish,2025-09-23 09:31:00 +0530,25172.95,25250.8496,25185.0,65.84960000000137,0.0,false,false,inside,4,Tuesday,88.2996000000021,88.9503999999979,true,false,,,,,133.33,-99.81,2025-09-23 09:48:00 +0530,17,99.92,1.51,68,100,0,8,62,79.92,0.5994,0.5994,13.7,normal,mean_reverting,open_test_drive,none
